Reported Date,Bullish,Neutral,Bearish
July 9:,27.16%,30.17%,42.67%
July 2:,22.15%,31.96%,45.89%
June 25:,24.14%,26.96%,48.90%
June 18:,24.37%,27.85%,47.78%
June 11:,34.28%,27.67%,38.05%
June 4:,34.55%,26.58%,38.87%
May 28:,33.07%,24.80%,42.13%
May 21:,29.00%,25.97%,45.02%
May 14:,23.31%,26.07%,50.61%
May 7:,23.67%,23.67%,52.66%
April 30:,30.60%,25.37%,44.03%
April 23:,24.86%,25.14%,50.00%
April 16:,34.86%,22.39%,42.75%
April 9:,36.60%,18.73%,44.67%
April 2:,34.24%,16.03%,49.73%
March 26:,32.90%,15.03%,52.07%
March 19:,34.35%,14.50%,51.15%
March 12:,29.74%,18.95%,51.31%
March 5:,38.74%,21.62%,39.64%
February 27:,30.43%,30.43%,39.13%
February 20:,40.56%,30.77%,28.67%
February 13:,41.33%,32.27%,26.40%
